irradiance,humidity,wind_speed,ambient_temperature,tilt_angle,kwh,season,month
738.39,23.57,3.49,35.13,10.62,186.42,summer,May
687.24,35.11,1.33,33.48,26.33,173.32,summer,May
971.88,16.23,0.65,31.2,23.34,245.09,summer,May
940.71,40.62,1.66,35.73,18.47,236.41,summer,May
956.41,44.83,4.72,43.49,23.91,241.12,summer,May
990.83,13.77,2.81,36.76,37.25,250.53,summer,May
862.01,18.89,2.32,40.86,37.1,218.48,summer,May
737.45,25.14,3.06,34.04,22.06,186.33,summer,May
798.66,17.32,3.01,33.42,17.71,201.83,summer,May
974.65,33.26,2.81,31.62,11.08,244.65,summer,May
733.04,27.43,3.38,33.1,35.21,185.11,summer,May
697.88,22.55,3.07,40.81,25.49,177.35,summer,May
946.13,14.71,2.5,32.09,39.4,238.78,summer,May
717.4,14.93,0.96,37.0,23.49,182.13,summer,May
810.53,28.54,3.83,35.69,29.0,204.82,summer,May
646.2,19.43,1.61,44.04,13.47,164.52,summer,May
633.74,38.3,3.58,37.92,39.87,160.09,summer,May
727.28,16.65,2.19,38.14,38.05,184.6,summer,May
971.95,33.61,2.31,37.39,15.87,244.67,summer,May
821.14,39.8,1.16,39.28,15.56,206.81,summer,May
807.71,10.69,4.2,38.47,18.71,204.99,summer,May
956.38,41.99,3.45,37.9,15.76,240.43,summer,May
872.45,10.57,2.17,31.21,27.92,220.69,summer,May
750.19,33.81,1.15,34.32,22.81,189.1,summer,May
714.21,18.91,0.67,38.78,20.55,181.22,summer,May
881.43,39.28,1.06,40.43,21.67,222.21,summer,May
603.29,15.48,1.98,33.74,19.75,153.15,summer,May
900.15,31.9,0.05,34.15,12.07,226.32,summer,May
741.05,19.41,4.19,30.43,15.99,187.0,summer,May
675.64,37.75,3.73,34.6,38.57,170.3,summer,May
672.81,16.62,0.99,41.25,19.77,171.21,summer,May
823.71,46.2,0.65,35.55,24.66,207.03,summer,June
810.5,35.33,1.8,30.34,15.48,203.49,summer,June
814.36,26.24,0.98,33.44,11.38,205.08,summer,June
719.16,46.76,2.64,37.42,33.06,181.16,summer,June
698.99,27.93,3.29,37.23,15.89,176.72,summer,June
927.0,13.61,0.19,34.63,38.49,234.28,summer,June
908.4,31.92,0.89,43.17,32.37,229.77,summer,June
685.65,13.25,2.05,32.11,14.73,173.55,summer,June
923.83,12.63,4.95,31.22,24.07,233.37,summer,June
887.9,11.44,0.26,42.94,30.78,225.68,summer,June
980.19,17.28,2.98,44.11,23.59,248.46,summer,June
774.7,13.7,3.32,38.54,26.72,196.81,summer,June
756.64,34.53,1.62,30.68,16.14,190.12,summer,June
899.64,30.38,3.95,44.88,39.33,227.68,summer,June
620.82,32.43,0.53,37.22,30.06,157.31,summer,June
731.45,16.47,1.0,32.45,11.24,184.74,summer,June
814.57,13.59,4.7,34.34,22.46,206.27,summer,June
831.94,23.46,1.92,42.97,18.78,210.81,summer,June
639.94,24.95,3.69,42.87,13.77,162.61,summer,June
716.08,14.52,0.81,34.13,15.95,181.3,summer,June
610.58,28.04,1.73,30.69,38.27,154.1,summer,June
866.0,22.23,3.95,33.14,30.95,218.75,summer,June
873.44,30.33,4.98,37.28,37.35,220.45,summer,June
634.39,10.94,1.77,36.84,11.19,161.21,summer,June
865.11,32.32,3.0,44.58,21.84,218.93,summer,June
734.75,26.18,3.85,44.08,11.73,186.32,summer,June
815.03,25.37,3.91,36.73,33.49,206.14,summer,June
944.42,20.69,3.69,43.7,24.75,239.36,summer,June
915.8,27.84,4.75,42.38,35.72,231.72,summer,June
880.16,30.7,3.17,33.13,35.69,221.71,summer,June
474.31,42.91,1.96,19.44,27.66,85.63,winter,November
647.41,67.87,5.82,5.53,12.5,114.68,winter,November
429.72,44.31,2.62,7.54,18.56,76.43,winter,November
384.18,48.76,5.96,17.26,14.49,68.85,winter,November
492.17,53.51,1.31,16.72,11.63,87.97,winter,November
660.11,65.81,2.27,11.11,27.03,117.71,winter,November
447.36,38.37,3.61,17.96,34.62,80.77,winter,November
531.61,59.57,1.03,5.68,28.12,94.33,winter,November
484.35,60.71,4.84,6.25,18.68,85.71,winter,November
686.06,34.61,5.28,13.76,18.68,123.41,winter,November
408.68,42.93,3.83,10.58,14.74,72.87,winter,November
525.49,37.21,3.48,13.17,14.09,94.26,winter,November
413.67,48.39,5.0,9.12,19.66,73.61,winter,November
671.36,43.86,4.19,17.79,19.78,120.81,winter,November
568.18,67.3,5.56,11.22,19.84,101.03,winter,November
517.54,37.06,2.15,13.51,19.9,92.96,winter,November
590.87,39.14,5.56,17.55,29.89,106.67,winter,November
561.97,38.14,3.38,8.36,36.71,100.6,winter,November
528.75,48.08,5.49,19.09,25.58,95.25,winter,November
318.58,41.26,5.72,8.08,11.87,56.48,winter,November
674.43,31.98,4.41,14.1,17.94,121.39,winter,November
463.99,61.15,3.11,14.69,19.49,82.69,winter,November
408.95,67.2,5.17,5.34,34.83,72.0,winter,November
626.77,42.74,1.92,11.28,30.16,112.46,winter,November
608.43,31.32,3.06,8.22,35.75,109.17,winter,November
483.78,37.9,3.7,19.67,23.29,87.44,winter,November
346.71,66.58,3.73,6.16,18.4,60.73,winter,November
438.98,57.91,3.82,5.39,20.96,77.59,winter,November
577.8,69.62,3.75,5.07,25.75,102.29,winter,November
466.56,67.54,5.43,19.65,13.08,83.27,winter,November
620.02,34.82,3.56,10.49,18.71,111.22,winter,December
340.01,37.64,1.15,17.21,17.68,61.22,winter,December
364.93,45.88,4.02,15.3,24.28,65.48,winter,December
474.92,49.63,3.52,18.49,23.82,85.41,winter,December
320.66,66.18,4.58,18.87,33.82,57.23,winter,December
623.91,65.55,2.52,18.68,15.39,111.58,winter,December
385.53,66.64,4.76,10.07,34.59,68.18,winter,December
373.62,41.44,2.32,17.96,38.66,67.31,winter,December
591.59,32.79,3.94,15.95,37.61,106.68,winter,December
682.59,60.55,2.35,15.82,35.85,122.23,winter,December
371.35,56.24,1.66,17.92,27.83,66.57,winter,December
530.48,49.95,4.63,19.4,27.59,95.56,winter,December
682.07,47.23,1.41,5.74,12.59,121.49,winter,December
523.29,39.31,3.59,15.45,22.1,94.14,winter,December
398.51,38.35,5.23,17.04,11.34,71.65,winter,December
420.06,44.14,4.87,7.06,30.91,74.91,winter,December
301.83,46.41,3.97,7.29,11.45,53.21,winter,December
622.73,55.66,5.66,16.83,34.11,111.77,winter,December
656.34,34.91,3.58,6.26,35.99,117.53,winter,December
505.09,66.85,1.62,6.73,13.59,89.15,winter,December
324.96,68.64,1.06,8.22,27.28,57.05,winter,December
490.94,48.96,3.07,19.61,21.14,88.34,winter,December
489.74,36.34,3.59,15.1,31.36,88.3,winter,December
577.95,59.67,4.68,13.38,39.79,103.18,winter,December
379.9,41.64,1.6,5.16,10.64,67.18,winter,December
356.91,48.0,2.15,11.57,39.72,63.57,winter,December
315.6,49.51,4.26,14.84,16.16,56.3,winter,December
402.34,33.2,2.71,8.27,21.11,71.95,winter,December
480.85,35.79,3.5,17.71,39.84,86.75,winter,December
358.81,66.89,2.62,16.64,14.45,63.64,winter,December
342.07,64.43,5.4,9.77,17.97,60.26,winter,December
331.08,31.18,5.09,7.99,20.18,59.18,winter,January
443.9,52.92,4.75,13.65,22.74,79.33,winter,January
448.56,67.57,2.45,14.13,20.69,79.69,winter,January
399.16,39.66,5.08,8.29,20.74,71.21,winter,January
636.67,46.29,3.27,12.6,32.48,114.22,winter,January
478.23,69.34,3.84,13.7,11.97,84.79,winter,January
399.61,68.03,4.39,8.26,11.6,70.25,winter,January
579.96,55.28,4.14,14.32,21.46,103.77,winter,January
443.29,36.64,3.67,6.12,30.99,79.22,winter,January
679.64,40.87,3.54,6.78,35.31,121.6,winter,January
575.36,32.84,2.83,19.75,25.69,104.12,winter,January
505.85,59.03,5.4,13.7,27.79,90.42,winter,January
623.19,47.2,2.39,12.07,20.78,111.58,winter,January
681.34,32.68,3.42,5.7,12.07,121.81,winter,January
638.69,59.48,1.19,17.83,39.16,114.44,winter,January
330.69,53.38,5.82,5.35,37.19,58.29,winter,January
478.34,65.29,4.59,9.49,25.06,84.87,winter,January
408.48,35.61,5.38,12.96,28.17,73.54,winter,January
625.16,43.64,4.06,9.48,14.93,111.74,winter,January
387.4,35.6,3.69,7.35,17.35,69.05,winter,January
545.08,49.87,2.08,19.68,21.03,98.04,winter,January
603.98,60.97,2.69,7.86,10.45,107.17,winter,January
375.4,34.02,1.36,15.4,10.13,67.41,winter,January
353.06,42.77,1.11,6.46,12.79,62.46,winter,January
637.96,37.02,4.58,7.54,30.01,114.39,winter,January
457.8,58.17,1.12,5.4,23.15,80.97,winter,January
533.49,69.65,3.14,11.51,12.57,94.56,winter,January
638.79,57.17,4.36,10.66,27.93,114.15,winter,January
599.82,45.28,2.88,14.27,27.94,107.75,winter,January
345.1,49.93,3.15,16.88,11.93,61.66,winter,January
478.46,49.24,3.94,13.69,17.22,85.54,winter,January
346.99,33.16,4.34,17.02,26.0,62.81,winter,February
444.93,50.39,1.03,8.39,26.79,79.2,winter,February
372.03,33.48,1.96,11.88,37.88,66.78,winter,February
451.52,44.48,1.22,14.04,32.61,81.03,winter,February
586.14,48.86,3.35,19.28,22.78,105.49,winter,February
497.52,61.23,3.21,10.32,24.29,88.48,winter,February
691.96,44.1,4.84,17.17,23.79,124.55,winter,February
422.15,65.75,5.57,7.4,28.33,74.66,winter,February
538.03,34.36,1.3,12.22,34.39,96.72,winter,February
530.51,42.99,3.33,18.75,15.57,95.46,winter,February
498.27,39.92,5.19,10.13,13.12,89.04,winter,February
518.55,53.26,3.69,9.43,36.21,92.43,winter,February
528.59,59.21,2.36,8.66,21.49,93.93,winter,February
452.12,69.52,2.91,5.55,32.66,79.73,winter,February
446.26,38.4,5.88,19.06,32.88,80.73,winter,February
678.27,43.34,1.33,7.03,19.55,121.16,winter,February
496.66,47.09,2.9,10.38,14.13,88.54,winter,February
446.91,37.43,4.7,14.88,16.91,80.32,winter,February
489.23,39.17,3.6,18.65,10.83,88.05,winter,February
619.22,60.03,2.4,17.78,18.17,110.88,winter,February
563.38,57.63,4.19,16.01,36.79,100.89,winter,February
499.12,35.08,3.0,8.22,21.01,89.31,winter,February
426.52,33.1,3.18,7.13,14.63,76.09,winter,February
490.57,58.47,5.96,17.51,30.7,88.03,winter,February
344.98,59.18,2.94,10.13,20.04,60.98,winter,February
523.54,51.49,4.85,13.83,29.89,93.87,winter,February
659.01,43.79,1.0,15.65,31.2,118.55,winter,February
651.26,69.13,1.46,15.54,38.43,116.25,winter,February
162.96,89.82,7.33,20.74,18.2,16.1,monsoon,July
548.49,96.71,2.35,20.32,15.49,73.06,monsoon,July
470.46,90.16,2.18,28.47,21.64,62.66,monsoon,July
336.18,70.55,6.14,24.75,16.9,44.15,monsoon,July
220.37,95.17,7.42,24.38,20.2,24.44,monsoon,July
397.0,91.41,3.19,32.04,21.78,51.71,monsoon,July
281.19,87.08,4.69,30.85,35.07,34.86,monsoon,July
551.28,95.99,7.0,23.35,29.49,74.31,monsoon,July
164.36,97.36,7.8,30.3,10.79,15.74,monsoon,July
154.5,89.67,3.49,20.82,29.64,15.27,monsoon,July
488.02,71.27,7.96,32.17,28.13,67.69,monsoon,July
238.61,88.96,3.67,33.01,27.95,28.5,monsoon,July
218.31,98.18,7.32,28.01,28.06,24.32,monsoon,July
201.71,89.84,3.3,29.57,21.85,22.46,monsoon,July
217.1,78.84,7.8,30.54,24.73,26.08,monsoon,July
432.62,93.55,3.34,27.31,23.1,56.66,monsoon,July
156.23,83.45,7.23,28.82,14.46,15.98,monsoon,July
302.11,75.08,2.98,29.02,12.64,38.59,monsoon,July
422.97,97.03,3.67,20.39,31.51,54.74,monsoon,July
300.24,94.99,2.22,34.48,21.47,36.94,monsoon,July
490.89,71.43,7.63,30.0,11.14,67.31,monsoon,July
485.16,90.61,3.26,22.91,21.82,64.56,monsoon,July
524.08,83.14,5.96,23.1,23.35,71.25,monsoon,July
344.39,93.23,2.37,26.7,37.15,43.41,monsoon,July
339.76,81.26,2.31,32.88,23.36,44.24,monsoon,July
380.92,85.98,4.76,29.17,32.6,49.94,monsoon,July
462.0,70.08,4.29,30.63,15.15,63.27,monsoon,July
148.64,79.22,6.43,33.87,12.04,15.41,monsoon,July
193.8,70.44,7.34,29.2,12.63,22.86,monsoon,July
485.04,75.95,5.8,32.4,13.29,66.17,monsoon,July
251.18,81.92,4.76,28.07,23.14,30.66,monsoon,July
276.29,76.08,4.26,32.02,33.1,35.35,monsoon,August
542.28,77.02,2.46,25.66,20.91,74.58,monsoon,August
567.64,87.38,2.96,30.47,22.01,77.64,monsoon,August
295.29,87.18,5.71,20.26,18.48,36.19,monsoon,August
325.86,84.66,3.13,25.31,11.42,40.97,monsoon,August
576.22,80.95,7.17,33.88,10.09,79.31,monsoon,August
122.09,78.64,5.56,25.77,31.87,11.72,monsoon,August
524.71,74.51,7.85,30.21,29.06,72.81,monsoon,August
534.82,72.14,6.5,24.09,38.17,73.95,monsoon,August
307.98,90.71,3.7,25.41,13.51,37.77,monsoon,August
383.13,73.13,4.03,26.5,20.92,51.16,monsoon,August
310.84,94.34,7.13,33.68,28.87,38.9,monsoon,August
555.62,88.78,4.12,20.29,29.24,75.49,monsoon,August
167.48,92.2,6.45,25.5,36.19,16.99,monsoon,August
456.13,85.88,2.52,26.15,36.78,60.89,monsoon,August
458.98,88.95,5.09,23.59,17.08,60.67,monsoon,August
313.09,97.25,7.87,26.58,24.15,38.41,monsoon,August
120.14,80.32,5.12,34.33,22.57,11.46,monsoon,August
204.64,93.93,3.72,31.27,20.24,22.51,monsoon,August
116.69,97.19,7.56,34.93,14.68,8.99,monsoon,August
248.7,80.47,2.95,27.54,20.86,30.3,monsoon,August
599.6,96.3,2.84,26.67,14.91,81.07,monsoon,August
108.14,94.52,6.6,30.56,33.94,8.21,monsoon,August
572.7,88.61,7.69,25.41,38.3,78.06,monsoon,August
388.34,77.08,6.78,28.22,11.53,51.28,monsoon,August
193.35,92.93,4.76,23.24,15.92,20.36,monsoon,August
558.67,81.38,4.23,30.45,14.97,76.63,monsoon,August
274.19,73.98,7.33,26.25,19.32,34.69,monsoon,August
572.71,80.83,6.63,23.22,14.31,78.42,monsoon,August
420.96,95.68,7.86,31.88,32.59,55.15,monsoon,August
598.23,87.96,5.67,33.94,24.22,82.46,monsoon,August
158.83,95.68,6.62,28.1,36.67,15.46,monsoon,September
506.95,86.13,2.45,28.47,38.26,68.55,monsoon,September
477.92,92.72,7.43,29.91,30.27,63.98,monsoon,September
384.54,85.94,5.95,27.12,13.55,49.84,monsoon,September
333.17,88.92,6.48,26.91,13.14,41.82,monsoon,September
272.58,96.74,7.61,24.63,12.57,31.82,monsoon,September
348.58,97.24,4.98,24.74,36.19,43.6,monsoon,September
219.75,90.93,7.82,21.18,27.8,24.92,monsoon,September
495.13,74.98,7.92,32.55,35.62,68.25,monsoon,September
440.46,70.51,2.11,22.11,32.58,60.04,monsoon,September
353.75,70.01,7.97,32.94,24.32,47.56,monsoon,September
332.45,70.89,2.56,27.0,32.07,44.07,monsoon,September
208.02,76.13,6.73,27.36,35.53,24.81,monsoon,September
255.2,85.72,2.31,24.79,36.22,30.72,monsoon,September
183.7,81.39,5.55,23.42,39.07,20.28,monsoon,September
483.03,89.27,3.92,34.14,29.4,65.25,monsoon,September
571.35,98.28,5.24,26.41,16.75,76.72,monsoon,September
447.56,90.67,6.41,32.1,32.47,59.64,monsoon,September
220.38,95.62,7.13,30.85,26.25,24.96,monsoon,September
538.62,82.17,3.26,25.29,16.0,73.31,monsoon,September
494.69,98.43,3.35,28.77,22.06,65.52,monsoon,September
361.21,74.56,7.72,21.78,33.43,47.76,monsoon,September
230.42,87.77,5.96,24.68,29.06,27.04,monsoon,September
257.86,88.17,7.95,23.85,12.82,30.45,monsoon,September
340.98,72.3,6.84,26.92,33.32,45.2,monsoon,September
535.16,74.44,3.17,21.72,16.93,73.43,monsoon,September
591.44,90.68,3.13,21.08,29.39,80.71,monsoon,September
402.84,85.95,3.6,23.0,14.99,52.42,monsoon,September
496.53,74.3,2.22,29.81,12.85,67.88,monsoon,September
150.62,73.19,7.12,22.65,19.47,16.06,monsoon,September
196.19,88.99,6.75,24.05,26.59,21.66,monsoon,October
130.63,88.56,4.58,32.18,11.21,11.64,monsoon,October
474.01,70.22,6.37,22.55,24.36,65.05,monsoon,October
303.71,71.03,3.53,21.62,35.61,39.35,monsoon,October
117.47,96.09,2.34,25.14,16.33,8.75,monsoon,October
190.02,94.8,6.82,24.19,13.54,19.64,monsoon,October
164.28,81.77,6.47,27.67,24.12,17.68,monsoon,October
427.05,99.62,7.84,31.03,11.35,54.98,monsoon,October
536.39,89.0,2.41,34.65,17.57,72.82,monsoon,October
503.95,75.54,6.7,31.56,17.53,69.18,monsoon,October
232.1,73.69,5.35,26.85,28.27,28.77,monsoon,October
217.51,92.18,4.04,31.15,12.09,24.29,monsoon,October
478.51,86.69,5.33,28.83,15.21,64.01,monsoon,October
374.55,82.82,2.4,22.1,11.56,48.29,monsoon,October
382.95,77.49,4.59,26.03,23.48,50.78,monsoon,October
534.46,87.04,6.01,21.87,16.55,72.08,monsoon,October
366.96,99.23,5.61,25.34,11.23,45.69,monsoon,October
315.72,86.37,2.58,31.33,23.03,40.03,monsoon,October
460.36,79.37,5.91,20.2,35.88,61.95,monsoon,October
142.88,77.63,3.74,34.56,31.54,15.37,monsoon,October
496.52,99.54,7.78,20.68,32.49,65.54,monsoon,October
590.73,97.09,3.55,26.89,22.35,79.97,monsoon,October
562.5,72.02,6.95,21.31,20.81,77.94,monsoon,October
171.43,72.28,5.64,26.89,16.92,19.36,monsoon,October
330.43,78.67,2.89,33.84,21.15,43.06,monsoon,October
568.37,73.9,6.25,29.97,29.56,79.41,monsoon,October
302.09,83.96,2.33,32.55,30.78,38.54,monsoon,October
183.87,71.82,4.8,25.56,15.91,21.16,monsoon,October
581.36,94.69,5.15,25.46,36.06,78.82,monsoon,October
525.83,76.71,6.2,28.61,16.71,72.17,monsoon,October
580.58,84.47,5.6,26.06,34.59,79.81,monsoon,October
